date,de_vdax,de_vstoxx
2006-12-31,13.683157894736842,
2007-01-31,14.644545454545455,
2007-02-28,13.3935,
2007-03-31,17.532727272727275,
2007-04-30,15.420000000000002,
2007-05-31,15.972380952380954,
2007-06-30,18.32857142857143,
2007-07-31,20.748181818181816,
2007-08-31,23.69782608695652,
2007-09-30,20.8385,
2007-10-31,17.452173913043477,
2007-11-30,19.963636363636365,
2007-12-31,16.95823529411765,
2008-01-31,23.83409090909091,
2008-02-29,25.804761904761904,
2008-03-31,27.059473684210527,
2008-04-30,20.744545454545456,
2008-05-31,18.04,
2008-06-30,20.895714285714284,
2008-07-31,22.81782608695652,
2008-08-31,21.045238095238094,
2008-09-30,25.74318181818182,
2008-10-31,52.29826086956521,
2008-11-30,52.784000000000006,
2008-12-31,44.391052631578944,
2009-01-31,40.41095238095238,
2009-02-28,39.4815,
2009-03-31,39.65909090909091,
2009-04-30,34.9285,
2009-05-31,30.713,
2009-06-30,28.38681818181818,
2009-07-31,27.114347826086956,
2009-08-31,25.83857142857143,
2009-09-30,25.322727272727274,
2009-10-31,24.807727272727274,
2009-11-30,24.25952380952381,
2009-12-31,22.486,
2010-01-31,21.037894736842105,
2010-02-28,22.104499999999998,
2010-03-31,17.680869565217392,
2010-04-30,17.862000000000002,
2010-05-31,26.11714285714286,
2010-06-30,23.04090909090909,
2010-07-31,21.55545454545455,
2010-08-31,22.196363636363635,
2010-09-30,19.577727272727273,
2010-10-31,18.844761904761906,
2010-11-30,18.290454545454544,
2010-12-31,17.51380952380952,
2011-01-31,17.343809523809526,
2011-02-28,15.751499999999998,
2011-03-31,19.413478260869564,
2011-04-30,16.548947368421054,
2011-05-31,18.82409090909091,
2011-06-30,19.197142857142858,
2011-07-31,18.262857142857143,
2011-08-31,33.794347826086955,
2011-09-30,40.568636363636365,
2011-10-31,35.40142857142857,
2011-11-30,34.99136363636364,
2011-12-31,29.423809523809524,
2012-01-31,24.037272727272725,
2012-02-29,21.57190476190476,
2012-03-31,19.438181818181818,
2012-04-30,22.707894736842103,
2012-05-31,26.104999999999997,
2012-06-30,26.794285714285714,
2012-07-31,21.06863636363636,
2012-08-31,20.06478260869565,
2012-09-30,18.247999999999998,
2012-10-31,17.124347826086957,
2012-11-30,16.208636363636362,
2012-12-31,14.316470588235294,21.35
2013-01-31,13.378181818181817,16.079090909090908
2013-02-28,15.4055,19.901
2013-03-31,14.9505,19.306
2013-04-30,16.676190476190477,20.38190476190476
2013-05-31,15.42,17.667272727272728
2013-06-30,18.807,21.901
2013-07-31,17.28391304347826,19.403478260869566
2013-08-31,15.56,18.805454545454545
2013-09-30,15.742857142857144,18.885714285714286
2013-10-31,14.402173913043478,17.880434782608695
2013-11-30,12.252380952380953,15.727142857142857
2013-12-31,13.468333333333334,17.037222222222223
2014-01-31,14.411818181818182,18.152272727272727
2014-02-28,15.3075,18.4195
2014-03-31,16.786190476190477,19.365714285714287
2014-04-30,15.887,17.444
2014-05-31,15.10190476190476,16.253333333333334
2014-06-30,12.970476190476191,14.32095238095238
2014-07-31,13.416521739130435,15.80391304347826
2014-08-31,18.016190476190477,18.07952380952381
2014-09-30,16.46909090909091,16.72681818181818
2014-10-31,21.195,22.361304347826085
2014-11-30,19.125,19.771
2014-12-31,20.512105263157896,22.294736842105266
2015-01-31,24.064285714285717,26.41761904761905
2015-02-28,21.6315,22.551
2015-03-31,20.06090909090909,19.21818181818182
2015-04-30,21.8865,20.9945
2015-05-31,23.335789473684212,22.015263157894736
2015-06-30,26.028181818181817,26.153181818181817
2015-07-31,23.034347826086954,23.57913043478261
2015-08-31,24.555714285714284,25.109999999999996
2015-09-30,30.30363636363636,31.45090909090909
2015-10-31,23.58181818181818,23.651363636363637
2015-11-30,23.175714285714285,22.82
2015-12-31,23.706,23.773
2016-01-31,29.73,29.651
2016-02-29,30.695238095238096,31.69
2016-03-31,24.23857142857143,24.54285714285714
2016-04-30,23.018571428571427,22.692857142857143
2016-05-31,22.49857142857143,23.62772727272727
2016-06-30,28.889090909090907,30.889090909090907
2016-07-31,21.236666666666668,22.401904761904763
2016-08-31,19.19086956521739,20.083478260869565
2016-09-30,18.624545454545455,19.808636363636364
2016-10-31,18.5395,19.21666666666667
2016-11-30,20.76772727272727,21.916818181818183
2016-12-31,16.60809523809524,17.046666666666667
2017-01-31,15.633181818181818,15.984545454545456
2017-02-28,15.152000000000001,15.543000000000001
2017-03-31,14.223478260869564,14.993913043478262
2017-04-30,17.869999999999997,20.235
2017-05-31,13.614545454545453,14.950909090909091
2017-06-30,13.392380952380952,14.34909090909091
2017-07-31,13.770000000000001,13.972380952380954
2017-08-31,15.188695652173914,15.58608695652174
2017-09-30,13.234285714285715,13.27142857142857
2017-10-31,12.053,12.444090909090908
2017-11-30,13.461818181818183,13.339545454545457
2017-12-31,13.538947368421054,12.802631578947368
2018-01-31,13.108181818181817,12.171363636363635
2018-02-28,21.802500000000002,21.482
2018-03-31,19.20380952380952,17.798571428571428
2018-04-30,16.8535,15.2375
2018-05-31,15.88952380952381,14.56590909090909
2018-06-30,16.226666666666667,14.936190476190477
2018-07-31,15.475454545454545,13.757272727272728
2018-08-31,16.281739130434783,14.271304347826087
2018-09-30,15.618500000000001,14.716999999999999
2018-10-31,19.174545454545456,18.838260869565215
2018-11-30,19.19909090909091,18.256363636363634
2018-12-31,21.405882352941177,20.733529411764707
2019-01-31,19.062272727272727,17.42681818181818
2019-02-28,16.5945,14.440999999999999
2019-03-31,15.32047619047619,14.584761904761903
2019-04-30,13.871,12.957619047619048
2019-05-31,17.137272727272727,16.76590909090909
2019-06-30,15.304736842105264,14.5615
2019-07-31,13.966956521739132,12.799130434782608
2019-08-31,19.70909090909091,19.158636363636365
2019-09-30,15.972380952380954,15.611904761904762
2019-10-31,15.997727272727273,15.840434782608694
2019-11-30,13.955238095238096,12.653809523809525
2019-12-31,14.640555555555554,13.723888888888888
2020-01-31,14.368181818181819,13.44590909090909
2020-02-29,18.5395,17.8595
2020-03-31,57.753181818181815,57.76590909090908
2020-04-30,44.070499999999996,42.1265
2020-05-31,34.3395,31.5165
2020-06-30,35.54238095238095,33.01863636363636
2020-07-31,28.766521739130436,26.754347826086956
2020-08-31,25.198095238095238,23.84714285714286
2020-09-30,27.495,26.291363636363634
2020-10-31,29.600454545454546,27.87
2020-11-30,25.816190476190474,23.966190476190473
2020-12-31,24.185499999999998,22.1005
2021-01-31,24.538999999999998,22.811500000000002
2021-02-28,23.6645,22.125
2021-03-31,20.55391304347826,19.334347826086958
2021-04-30,18.7525,17.663999999999998
2021-05-31,21.374000000000002,20.478571428571428
2021-06-30,18.542727272727273,17.527272727272727
